mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate_init,param_clf__hidden_layer_sizes,param_clf__alpha,param_clf__activation,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
5.181897878646851,0.0,0.018107891082763672,0.0,0.0005,"(256,)",1e-05,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256,), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.8543074324324325,0.8543074324324325,0.0,1
4.9150331020355225,0.0,0.020020008087158203,0.0,0.001,"(128,)",0.001,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.7051282051282051,0.7051282051282051,0.0,16
7.8497679233551025,0.0,0.01633000373840332,0.0,0.0001,"(128, 64)",0.0001,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.723709167544784,0.723709167544784,0.0,10
3.5580132007598877,0.0,0.023724079132080078,0.0,0.0001,"(128,)",1e-05,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.7095959595959596,0.7095959595959596,0.0,11
4.9841468334198,0.0,0.03396892547607422,0.0,0.0005,"(256,)",0.001,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256,), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.8543074324324325,0.8543074324324325,0.0,1
4.860803842544556,0.0,0.02661895751953125,0.0,0.001,"(128,)",0.0001,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.7051282051282051,0.7051282051282051,0.0,16
5.937027931213379,0.0,0.013438940048217773,0.0,0.0005,"(256, 128)",1e-05,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.7918103448275862,0.7918103448275862,0.0,5
4.335402965545654,0.0,0.011090278625488281,0.0,0.0005,"(256, 128)",0.001,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.7246376811594203,0.7246376811594203,0.0,9
3.49155592918396,0.0,0.017009258270263672,0.0,0.0001,"(128,)",0.0001,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.7095959595959596,0.7095959595959596,0.0,11
4.700307130813599,0.0,0.01920604705810547,0.0,0.0001,"(128, 64)",0.0001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.7086148648648649,0.7086148648648649,0.0,13
6.4205310344696045,0.0,0.00846099853515625,0.0,0.001,"(256, 128)",1e-05,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 1e-05, 'clf__activation': 'tanh'}",0.7935897435897437,0.7935897435897437,0.0,3
3.6608240604400635,0.0,0.017129898071289062,0.0,0.0005,"(128, 64)",0.001,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.6794763513513513,0.6794763513513513,0.0,20
4.2820470333099365,0.0,0.01482701301574707,0.0,0.0001,"(256, 128)",1e-05,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.7071307300509337,0.7071307300509337,0.0,14
4.068511962890625,0.0,0.011114120483398438,0.0,0.0001,"(256, 128)",1e-05,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 1e-05, 'clf__activation': 'tanh'}",0.6861598440545809,0.6861598440545809,0.0,19
5.782175779342651,0.0,0.005285978317260742,0.0,0.001,"(256,)",1e-05,relu,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (256,), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.7935897435897437,0.7935897435897437,0.0,3
4.884410858154297,0.0,0.005789995193481445,0.0,0.0005,"(256, 128)",0.0001,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.7918103448275862,0.7918103448275862,0.0,5
5.23745584487915,0.0,0.005421161651611328,0.0,0.001,"(128, 64)",0.0001,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.7676767676767677,0.7676767676767677,0.0,7
3.5651888847351074,0.0,0.009774923324584961,0.0,0.0005,"(128,)",0.0001,tanh,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.7377533783783784,0.7377533783783784,0.0,8
3.497429847717285,0.0,0.008781194686889648,0.0,0.0001,"(256, 128)",0.001,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.7071307300509337,0.7071307300509337,0.0,14
3.919956922531128,0.0,0.00544285774230957,0.0,0.0001,"(256,)",1e-05,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (256,), 'clf__alpha': 1e-05, 'clf__activation': 'tanh'}",0.6891225059000214,0.6891225059000214,0.0,18
